iter	Logloss
0	0.5436069455
1	0.4557726259
2	0.408921335
3	0.3764932865
4	0.3583252167
5	0.3410995377
6	0.3338679388
7	0.326662339
8	0.3247172413
9	0.3211859099
10	0.3170148232
11	0.3142593156
12	0.3029221398
13	0.29950931
14	0.2985711397
15	0.2962225304
16	0.2925078382
17	0.2894621079
18	0.2869706593
19	0.2848497215
20	0.2832455062
21	0.2818046368
22	0.2804137085
23	0.2788509049
24	0.2741856523
25	0.270760609
26	0.2675629227
27	0.2663235635
28	0.2651427063
29	0.2636886887
30	0.2630871415
31	0.2610147304
32	0.2601359831
33	0.2593703349
34	0.256043615
35	0.2549730803
36	0.253612017
37	0.2523298858
38	0.2510368641
39	0.2503844086
40	0.2491419138
41	0.2479608133
42	0.2472088249
43	0.2447290952
44	0.2428673133
45	0.2411306606
46	0.2398095668
47	0.2355476116
48	0.2324103905
49	0.2302974272
50	0.2279689673
51	0.2269868141
52	0.2235462077
53	0.2217108983
54	0.2202335866
55	0.2182126248
56	0.2157755783
57	0.2131295401
58	0.2106401192
59	0.2085896404
60	0.2077552457
61	0.2062757115
62	0.20399607
63	0.202846513
64	0.2011211672
65	0.2000868645
66	0.1982074944
67	0.1954220883
68	0.1939965856
69	0.1931165454
70	0.1919294586
71	0.1915006545
72	0.1895359455
73	0.1875299175
74	0.1860514358
75	0.1853289184
76	0.1826081544
77	0.1814077172
78	0.1797721273
79	0.1796138253
80	0.178702722
81	0.1768680728
82	0.1754571902
83	0.172989811
84	0.1722436301
85	0.1702187486
86	0.169775079
87	0.1688356328
88	0.1682257527
89	0.166897786
90	0.1653946215
91	0.1641023276
92	0.1632066632
93	0.1616300917
94	0.1612188248
95	0.160137316
96	0.1596855276
97	0.1587674059
98	0.1579861001
99	0.1576093328
100	0.1570946029
101	0.156554565
102	0.1552516099
103	0.1544304993
104	0.1538307814
105	0.1522636179
106	0.1516613805
107	0.1513404823
108	0.1507606521
109	0.1486557346
110	0.1479429021
111	0.14714265
112	0.1468625883
113	0.1462895117
114	0.1454865644
115	0.14399854
116	0.1432428425
117	0.1429856105
118	0.1418096035
119	0.1412489293
120	0.140224977
121	0.1383470421
122	0.1378720507
123	0.1371223658
124	0.1365774983
125	0.1360759944
126	0.1354801103
127	0.1342204258
128	0.133999528
129	0.1332934749
130	0.1322075217
131	0.131716164
132	0.1312267238
133	0.1306221441
134	0.1299684152
135	0.1297477519
136	0.1292872785
137	0.1286538664
138	0.1279949326
139	0.127536903
140	0.1263581276
141	0.1254884658
142	0.124844175
143	0.1244178536
144	0.1237414152
145	0.123352244
146	0.1222775485
147	0.1216974591
148	0.1213819474
149	0.1208797184
150	0.1202374605
151	0.1197823383
152	0.1195380008
153	0.119392007
154	0.1187305255
155	0.1182084015
156	0.1178771277
157	0.1176916833
158	0.117079008
159	0.1164344846
160	0.1157953377
161	0.1153342445
162	0.1148368805
163	0.1143577825
164	0.1139714955
165	0.1137014785
166	0.1129888137
167	0.1128048718
168	0.1121484802
169	0.1117220464
170	0.1114532252
171	0.1108358993
172	0.1104187042
173	0.1096631278
174	0.1094072666
175	0.1092749104
176	0.1084440486
177	0.1079811193
178	0.10732015
179	0.1071077026
180	0.1070209239
181	0.1067297172
182	0.1058567291
183	0.1053008798
184	0.105102221
185	0.1042830722
186	0.1038841522
187	0.1036781451
188	0.1032212542
189	0.1025056821
190	0.102269652
191	0.1017773197
192	0.1012208359
193	0.1010060139
194	0.1007922408
195	0.1005223155
196	0.1003543452
197	0.09976800658
198	0.09919090066
199	0.09889237232
200	0.09855066744
201	0.09815906737
202	0.09795533273
203	0.09755638401
204	0.09726519484
205	0.09718306341
206	0.09711648402
207	0.0968920017
208	0.09651883796
209	0.09604617644
210	0.09543087307
211	0.09510101018
212	0.09484736111
213	0.09460125145
214	0.09413000338
215	0.09394728651
216	0.09341910965
217	0.09316483621
218	0.09291315951
219	0.09260165814
220	0.0923403459
221	0.09225329348
222	0.09205012909
223	0.09156484222
224	0.09124171045
225	0.09098302745
226	0.09071262521
227	0.09029330548
228	0.08996746185
229	0.08977768324
230	0.08933686394
231	0.08896467431
232	0.08854146466
233	0.0883715411
234	0.08819069983
235	0.08815721486
236	0.08803957048
237	0.08764815039
238	0.08736340819
239	0.08698751897
240	0.08669004485
241	0.08627480494
242	0.08583471681
243	0.0853986387
244	0.08514195529
245	0.08489911206
246	0.08470079957
247	0.08444482169
248	0.08411214998
249	0.08388289893
250	0.08363602936
251	0.08333840916
252	0.08299390666
253	0.08261355316
254	0.08246568875
255	0.08228903786
256	0.08151174141
257	0.08131536558
258	0.0806796458
259	0.08051422445
260	0.08027328722
261	0.07976589169
262	0.07954965988
263	0.07924875583
264	0.07887782163
265	0.07853869899
266	0.07830983175
267	0.07796446476
268	0.07775893223
269	0.07753270389
270	0.07726946766
271	0.07716013544
272	0.07678291229
273	0.07635663748
274	0.07621742248
275	0.07600728937
276	0.07575169455
277	0.0756908997
278	0.07538143788
279	0.07511026857
280	0.07483197212
281	0.0744584889
282	0.07418204349
283	0.07369628077
284	0.07329394753
285	0.07302898752
286	0.07258473867
287	0.07232849388
288	0.07194203106
289	0.07152372442
290	0.07125752638
291	0.07095587434
292	0.07073804663
293	0.07066904504
294	0.07038808393
295	0.07021810744
296	0.07004226494
297	0.06990120469
298	0.06963069592
299	0.06956923606
300	0.06929836955
301	0.06908530738
302	0.06902249285
303	0.06886234223
304	0.06846422008
305	0.06814823907
306	0.0680971919
307	0.06747219769
308	0.06727192799
309	0.06718553898
310	0.06707813925
311	0.06692444488
312	0.06677508742
313	0.06673486782
314	0.06661283734
315	0.06631941769
316	0.06599888207
317	0.0657028329
318	0.06537205182
319	0.06510193397
320	0.06484727502
321	0.06446740102
322	0.06408772787
323	0.06381404916
324	0.06351914575
325	0.06345184881
326	0.06315384982
327	0.06300916925
328	0.06281792096
329	0.06259204179
330	0.06247828675
331	0.06230609167
332	0.0621180083
333	0.06203557388
334	0.06179217813
335	0.06150804907
336	0.06133260234
337	0.06107919227
338	0.06102996343
339	0.06087378079
340	0.06056641568
341	0.06032658976
342	0.06004839421
343	0.05994237417
344	0.05983398717
345	0.05960417517
346	0.05943218448
347	0.05918559262
348	0.05881535065
349	0.05857498977
350	0.05846011919
351	0.05806373479
352	0.05767342234
353	0.05752821406
354	0.05738369405
355	0.05732342651
356	0.05714870531
357	0.05691211882
358	0.0567700113
359	0.05649265975
360	0.05643114941
361	0.05637183118
362	0.0562877991
363	0.05617528482
364	0.05611236432
365	0.05591258901
366	0.05570938597
367	0.05561814268
368	0.05554918007
369	0.0553989437
370	0.0552372436
371	0.05502135317
372	0.05478523442
373	0.05454513182
374	0.05440596165
375	0.05414946624
376	0.05383268546
377	0.05356511598
378	0.05346310887
379	0.053267296
380	0.05309079788
381	0.05299017126
382	0.05290370428
383	0.05273693796
384	0.05263459542
385	0.05248152481
386	0.05229080564
387	0.05207782765
388	0.0520583979
389	0.05187802241
390	0.05183297103
391	0.051670028
392	0.05139192422
393	0.05123740989
394	0.05106598078
395	0.05084658594
396	0.05069116111
397	0.05056032138
398	0.05020096962
399	0.05007527642
400	0.04990838451
401	0.04980780348
402	0.04971205409
403	0.04965615316
404	0.0494863457
405	0.04940772835
406	0.04926748002
407	0.04911783391
408	0.04896231989
409	0.04888905065
410	0.04883185758
411	0.04862808789
412	0.04850658229
413	0.04828695194
414	0.0481972288
415	0.04802658787
416	0.0478922811
417	0.04776163685
418	0.04761796458
419	0.04746272748
420	0.04723556471
421	0.04704162312
422	0.04690279344
423	0.04686610518
424	0.04669319536
425	0.0464392955
426	0.04638079834
427	0.04621332759
428	0.04617532327
429	0.04602595997
430	0.04598559464
431	0.04582868843
432	0.04567888645
433	0.04553162032
434	0.0454023581
435	0.04533328735
436	0.04522959982
437	0.04510645019
438	0.04499714152
439	0.04488091034
440	0.04477636831
441	0.04471260161
442	0.0446108924
443	0.04455720005
444	0.04445456896
445	0.04420991663
446	0.04408386516
447	0.04393377372
448	0.04389001922
449	0.04379697517
450	0.04376946229
451	0.04366796624
452	0.04359766903
453	0.04354455797
454	0.04346447607
455	0.04342858096
456	0.04333927921
457	0.04325976969
458	0.04321977015
459	0.04310598689
460	0.04292158423
461	0.04276365469
462	0.04259353768
463	0.04246073481
464	0.04226220326
465	0.04206482009
466	0.04184204883
467	0.04170362131
468	0.04157374512
469	0.04144714536
470	0.04132057952
471	0.04114742313
472	0.04100852677
473	0.04086379958
474	0.04078666808
475	0.04066549885
476	0.0406394065
477	0.04049657882
478	0.04021744745
479	0.04015259912
480	0.04000783872
481	0.03995557122
482	0.03984125553
483	0.039768101
484	0.03970525956
485	0.0396233703
486	0.03946153748
487	0.03934082476
488	0.03922844668
489	0.03913475182
490	0.03901230847
491	0.03896121435
492	0.03891295512
493	0.03884185856
494	0.03876662057
495	0.0386866963
496	0.03863950849
497	0.03858272131
498	0.03849327685
499	0.03835049092
